IDs_interactor_A	IDs_interactor_B	interactor_IDs_databases_A	interactor_IDs_databases_B	Taxid_interactor_A	Taxid_interactor_B	Publication_Identifiers	Confidence_values	Host_organisms	bait_prey_status_A	bait_prey_status_B	Interaction_detection_methods	Interaction_types	Interaction_identifiers	Expansion_methods	Features_interactor_A	Features_interactor_B	Identification_method_participant_A	Identification_method_participant_B	binding_region_A_start	binding_region_A_end	binding_region_B_start	binding_region_B_end	binding_region_A_type	binding_region_B_type	pair_id
Q86VW0	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12391|virhostnet-nrid:11418	-	-	-	-	-							P10191|Q86VW0
Q8NEY4	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12523|virhostnet-nrid:11550	-	-	-	-	-							P10191|Q8NEY4
Q8WXF8	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12576|virhostnet-nrid:11603	-	-	-	-	-							P10191|Q8WXF8
Q92478	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12524|virhostnet-nrid:11551	-	-	-	-	-							P10191|Q92478
Q9BUJ2	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12529|virhostnet-nrid:11556	-	-	-	-	-							P10191|Q9BUJ2
Q9HD23	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12532|virhostnet-nrid:11559	-	-	-	-	-							P10191|Q9HD23
Q9NS71	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12577|virhostnet-nrid:11604	-	-	-	-	-							P10191|Q9NS71
Q9Y4K3	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12533|virhostnet-nrid:11560	-	-	-	-	-							P10191|Q9Y4K3
Q9Y6H6	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12611|virhostnet-nrid:11638	-	-	-	-	-							P10191|Q9Y6H6
Q14203	P10193	uniprotkb	uniprotkb	9606	10299	11854491		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:1833276|virhostnet-nrid:1252549	-	-	-	-	-							P10193|Q14203
Q96EY1	P10193	uniprotkb	uniprotkb	9606	10299	11854491		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:1832672|virhostnet-nrid:1252258	-	-	-	-	-							P10193|Q96EY1
Q96EY1	P10193	uniprotkb	uniprotkb	9606	10299	11854491		-	-	-	psi-mi:MI:0019(coimmunoprecipitation)	psi-mi:MI:0915(physical association)	virhostnet-rid:1833273|virhostnet-nrid:1252258	-	-	-	-	-							P10193|Q96EY1
Q9UK22	P10193	uniprotkb	uniprotkb	9606	10299	11854491		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:1833274|virhostnet-nrid:1252548	-	-	-	-	-							P10193|Q9UK22
Q9UK22	P10193	uniprotkb	uniprotkb	9606	10299	12904574		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:1833275|virhostnet-nrid:1252548	-	-	-	-	-							P10193|Q9UK22
O14770	P10201	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12410|virhostnet-nrid:11437	-	-	-	-	-							O14770|P10201
Q15427	P10201	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12657|virhostnet-nrid:11684	-	-	-	-	-							P10201|Q15427
Q8IZ63	P10201	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12384|virhostnet-nrid:11411	-	-	-	-	-							P10201|Q8IZ63
Q9UKT9	P10201	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12584|virhostnet-nrid:11611	-	-	-	-	-							P10201|Q9UKT9
O00585	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12541|virhostnet-nrid:11568	-	-	-	-	-							O00585|P10204
O14807	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12457|virhostnet-nrid:11484	-	-	-	-	-							O14807|P10204
O15503	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12454|virhostnet-nrid:11481	-	-	-	-	-							O15503|P10204
O43557	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12473|virhostnet-nrid:11500	-	-	-	-	-							O43557|P10204
O43739	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12441|virhostnet-nrid:11468	-	-	-	-	-							O43739|P10204
O75909	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12586|virhostnet-nrid:11613	-	-	-	-	-							O75909|P10204
O95989	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12546|virhostnet-nrid:11573	-	-	-	-	-							O95989|P10204
O95990	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12445|virhostnet-nrid:11472	-	-	-	-	-							O95990|P10204
P05114	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12452|virhostnet-nrid:11479	-	-	-	-	-							P05114|P10204
P06028	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12449|virhostnet-nrid:11476	-	-	-	-	-							P06028|P10204
P08708	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12588|virhostnet-nrid:11615	-	-	-	-	-							P08708|P10204
P0DPB6	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12463|virhostnet-nrid:11490	-	-	-	-	-							P0DPB6|P10204
P13164	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12545|virhostnet-nrid:11572	-	-	-	-	-							P10204|P13164
P13164	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0096(pull down)	psi-mi:MI:0915(physical association)	virhostnet-rid:12672|virhostnet-nrid:11572	-	-	-	-	-							P10204|P13164
P14210	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12451|virhostnet-nrid:11478	-	-	-	-	-							P10204|P14210
P14555	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12547|virhostnet-nrid:11574	-	-	-	-	-							P10204|P14555
P14555	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0096(pull down)	psi-mi:MI:0915(physical association)	virhostnet-rid:12676|virhostnet-nrid:11574	-	-	-	-	-							P10204|P14555
P14770	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12448|virhostnet-nrid:11475	-	-	-	-	-							P10204|P14770
P15328	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12543|virhostnet-nrid:11570	-	-	-	-	-							P10204|P15328
P15328	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0096(pull down)	psi-mi:MI:0915(physical association)	virhostnet-rid:12660|virhostnet-nrid:11570	-	-	-	-	-							P10204|P15328
P26641	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12443|virhostnet-nrid:11470	-	-	-	-	-							P10204|P26641
P30536	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12590|virhostnet-nrid:11617	-	-	-	-	-							P10204|P30536
P31151	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12632|virhostnet-nrid:11659	-	-	-	-	-							P10204|P31151
P31260	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12453|virhostnet-nrid:11480	-	-	-	-	-							P10204|P31260
P35372	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12459|virhostnet-nrid:11486	-	-	-	-	-							P10204|P35372
P36382	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12447|virhostnet-nrid:11474	-	-	-	-	-							P10204|P36382
P49458	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12621|virhostnet-nrid:11648	-	-	-	-	-							P10204|P49458
P62263	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12466|virhostnet-nrid:11493	-	-	-	-	-							P10204|P62263
P63241	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12444|virhostnet-nrid:11471	-	-	-	-	-							P10204|P63241
P69892	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12544|virhostnet-nrid:11571	-	-	-	-	-							P10204|P69892
Q01844	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12542|virhostnet-nrid:11569	-	-	-	-	-							P10204|Q01844
Q02750	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12456|virhostnet-nrid:11483	-	-	-	-	-							P10204|Q02750
Q12893	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12589|virhostnet-nrid:11616	-	-	-	-	-							P10204|Q12893
Q13432	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12474|virhostnet-nrid:11501	-	-	-	-	-							P10204|Q13432
Q14512	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12446|virhostnet-nrid:11473	-	-	-	-	-							P10204|Q14512
Q15661	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12548|virhostnet-nrid:11575	-	-	-	-	-							P10204|Q15661
Q16774	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12619|virhostnet-nrid:11646	-	-	-	-	-							P10204|Q16774
Q16864	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12539|virhostnet-nrid:11566	-	-	-	-	-							P10204|Q16864
Q4J6C6	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12620|virhostnet-nrid:11647	-	-	-	-	-							P10204|Q4J6C6
Q63ZY6	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12458|virhostnet-nrid:11485	-	-	-	-	-							P10204|Q63ZY6
Q6UWN8	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12469|virhostnet-nrid:11496	-	-	-	-	-							P10204|Q6UWN8
Q6ZP80	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12471|virhostnet-nrid:11498	-	-	-	-	-							P10204|Q6ZP80
Q7L8A9	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12475|virhostnet-nrid:11502	-	-	-	-	-							P10204|Q7L8A9
Q8N682	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12442|virhostnet-nrid:11469	-	-	-	-	-							P10204|Q8N682
Q8TBM7	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12585|virhostnet-nrid:11612	-	-	-	-	-							P10204|Q8TBM7
Q8TBQ9	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12470|virhostnet-nrid:11497	-	-	-	-	-							P10204|Q8TBQ9
Q8TC12	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12465|virhostnet-nrid:11492	-	-	-	-	-							P10204|Q8TC12
Q8WVX3	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12439|virhostnet-nrid:11466	-	-	-	-	-							P10204|Q8WVX3
Q92882	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12461|virhostnet-nrid:11488	-	-	-	-	-							P10204|Q92882
Q93065	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12450|virhostnet-nrid:11477	-	-	-	-	-							P10204|Q93065
Q96MD7	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12440|virhostnet-nrid:11467	-	-	-	-	-							P10204|Q96MD7
Q99541	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12462|virhostnet-nrid:11489	-	-	-	-	-							P10204|Q99541
Q99731	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12540|virhostnet-nrid:11567	-	-	-	-	-							P10204|Q99731
Q9BWG6	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12467|virhostnet-nrid:11494	-	-	-	-	-							P10204|Q9BWG6
Q9C005	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12587|virhostnet-nrid:11614	-	-	-	-	-							P10204|Q9C005
Q9H813	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12472|virhostnet-nrid:11499	-	-	-	-	-							P10204|Q9H813
Q9NRW1	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12464|virhostnet-nrid:11491	-	-	-	-	-							P10204|Q9NRW1
Q9NXF8	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12476|virhostnet-nrid:11503	-	-	-	-	-							P10204|Q9NXF8
Q9Y4P9	P10204	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12468|virhostnet-nrid:11495	-	-	-	-	-							P10204|Q9Y4P9
P13056	P10205	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12477|virhostnet-nrid:11504	-	-	-	-	-							P10205|P13056
Q12926	P10205	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12395|virhostnet-nrid:11422	-	-	-	-	-							P10205|Q12926
Q14576	P10205	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12396|virhostnet-nrid:11423	-	-	-	-	-							P10205|Q14576
Q8NFH5	P10205	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12478|virhostnet-nrid:11505	-	-	-	-	-							P10205|Q8NFH5
Q9NWS9	P10205	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12549|virhostnet-nrid:11576	-	-	-	-	-							P10205|Q9NWS9
Q7Z4H7	P10209	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12392|virhostnet-nrid:11419	-	-	-	-	-							P10209|Q7Z4H7
Q7Z4H7	P10210	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12594|virhostnet-nrid:11621	-	-	-	-	-							P10210|Q7Z4H7
Q7Z4H7	P10211	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12595|virhostnet-nrid:11622	-	-	-	-	-							P10211|Q7Z4H7
Q16633	P10212	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12500|virhostnet-nrid:11527	-	-	-	-	-							P10212|Q16633
Q16633	P10212	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0096(pull down)	psi-mi:MI:0915(physical association)	virhostnet-rid:12680|virhostnet-nrid:11527	-	-	-	-	-							P10212|Q16633
Q8ND90	P10212	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12648|virhostnet-nrid:11675	-	-	-	-	-							P10212|Q8ND90
Q06609	P10215	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12373|virhostnet-nrid:11400	-	-	-	-	-							P10215|Q06609
